[backend] INFO:     Started server process [2532]
[backend] [Config] LLM provider: deepseek
[backend] INFO:     Waiting for application startup.
[backend] 2026-07-09 16:41:00 | uvicorn.access           | INFO     | 127.0.0.1:58135 - "GET /api/metrics/summary?world_id=mock_world&last_n=100 HTTP/1.1" 200
[backend] 2026-07-09 16:41:00 | engine.dm.dm_engine      | INFO     | [engine] dm_narrate tick=1 narrative_len=98
[backend] 2026-07-09 16:41:00 | performance              | INFO     | [performance] dm.narrate tick=1 699.4ms
[backend] [Config] LLM provider: deepseek
2026-07-09 16:41:00 | uvicorn.access           | INFO     | 127.0.0.1:58131 - "GET /api/world/mock_world/state HTTP/1.1" 200
[backend] 2026-07-09 16:41:00 | uvicorn.access           | INFO     | 127.0.0.1:58133 - "GET /api/world/mock_world/events?since_tick=0 HTTP/1.1" 200
[backend] 2026-07-09 16:41:00 | repo.dm_record_repo      | INFO     | [repo] save_plot_brief tick=1
[backend] 2026-07-09 16:41:00 | service.data_service     | INFO     | [data] wrote dm_record tick=1
[backend] 2026-07-09 16:41:00 | repo.event_repo          | INFO     | [repo] insert tick=1 count=11
[backend] 2026-07-09 16:41:00 | service.data_service     | INFO     | [data] wrote events tick=1 count=11
[backend] 2026-07-09 16:41:00 | service.data_service     | INFO     | [data] persisted pcs count=4 tick=1
[backend] 2026-07-09 16:41:00 | service.data_service     | INFO     | [data] persisted actors count=6 tick=1
[backend] 2026-07-09 16:41:00 | performance              | INFO     | [performance] data.persist tick=1 56.4ms
[backend] 2026-07-09 16:41:00 | performance              | INFO     | [performance] tick tick=1
[backend] 2026-07-09 16:41:00 | utils.metrics            | INFO     | [metrics] tick=1 latency=1821ms llm=0 tokens=0/0 cost=$0.000000
2026-07-09 16:41:00 | tick_runner              | INFO     | [batch] Finished world mock_world: 1/1 ticks
[backend] 2026-07-09 16:41:01 | uvicorn.access           | INFO     | 127.0.0.1:57682 - "GET /api/world/mock_world/events?since_tick=0 HTTP/1.1" 200
[backend] 2026-07-09 16:41:08 | uvicorn.access           | INFO     | 127.0.0.1:57221 - "GET /api/metrics/summary?world_id=mock_world&last_n=100 HTTP/1.1" 200
[backend] 2026-07-09 16:41:12 | api                      | INFO     | [api] tick.display world=mock_world:1
[backend] 2026-07-09 16:41:12 | uvicorn.access           | INFO     | 127.0.0.1:64887 - "POST /api/world/mock_world/tick/display/1 HTTP/1.1" 200
[backend] 2026-07-09 16:41:13 | api                      | INFO     | [api] tick.batch world=mock_world:1
2026-07-09 16:41:13 | tick_runner              | INFO     | [batch] Started 1 ticks for world mock_world
[backend] 2026-07-09 16:41:13 | uvicorn.access           | INFO     | 127.0.0.1:61581 - "POST /api/world/mock_world/tick/batch/1 HTTP/1.1" 200
[backend] 2026-07-09 16:41:15 | engine.dm.dm_engine      | INFO     | [engine] dm_create tick=2 world=mock_world
[backend] 2026-07-09 16:41:15 | performance              | INFO     | [performance] dm.create tick=2 2006.5ms
[backend] 2026-07-09 16:41:15 | uvicorn.access           | INFO     | 127.0.0.1:59791 - "GET /api/world/mock_world/events?since_tick=1 HTTP/1.1" 200
[backend] 2026-07-09 16:41:15 | performance              | INFO     | [performance] data.load_world tick=2 1.5ms
[backend] 2026-07-09 16:41:15 | performance              | INFO     | [performance] data.load_scene tick=2 26.3ms
[backend] [Config] LLM provider: deepseek
2026-07-09 16:41:15 | uvicorn.access           | INFO     | 127.0.0.1:59794 - "GET /api/world/mock_world/state HTTP/1.1" 200
[backend] 2026-07-09 16:41:15 | performance              | INFO     | [performance] data.load_actors tick=2 9.2ms
[backend] 2026-07-09 16:41:15 | performance              | INFO     | [performance] data.load_pcs tick=2 0.3ms
[backend] 2026-07-09 16:41:15 | performance              | INFO     | [performance] data.load_scene_objects tick=2 0.8ms
[backend] 2026-07-09 16:41:15 | performance              | INFO     | [performance] tick_init.assign_positions tick=2 0.0ms
[backend] 2026-07-09 16:41:15 | performance              | INFO     | [performance] tick_init.dm_create_event tick=2 0.0ms
[backend] 2026-07-09 16:41:15 | performance              | INFO     | [performance] tick_init.scene_setup_snapshot tick=2 0.1ms
[backend] 2026-07-09 16:41:15 | engine.decision.decision_engine | INFO     | [engine] decide tick=2 pc=cleric
[backend] 2026-07-09 16:41:15 | engine.decision.decision_engine | INFO     | [engine] decide tick=2 pc=fighter
[backend] 2026-07-09 16:41:15 | engine.decision.decision_engine | INFO     | [engine] decide tick=2 pc=rogue
[backend] 2026-07-09 16:41:15 | engine.decision.decision_engine | INFO     | [engine] decide tick=2 pc=wizard
[backend] 2026-07-09 16:41:15 | performance              | INFO     | [performance] pc.decide tick=2 1.6ms
[backend] 2026-07-09 16:41:15 | engine.combat.combat_engine | INFO     | [combat] cleric → goblin : 他挥剑劈向地精，剑锋在烛光下划出一道弧光，将敌人逼得连退两步 (defeated=False)
[backend] 2026-07-09 16:41:15 | engine.talk.talk_engine  | INFO     | [engine] fighter ↔ merchant : 4 turns
[backend] 2026-07-09 16:41:15 | engine.explore.explore_engine | INFO     | [engine] rogue explore start pos=(31,10) scene=village_elderwood
[backend] 2026-07-09 16:41:15 | engine.explore.explore_engine | INFO     | [engine] rogue explore: (31,10) → (10,12) | 吧台后方的木地板有一块微微翘起，下面似乎藏着一张泛黄的羊皮纸
[backend] 2026-07-09 16:41:15 | engine.talk.talk_engine  | INFO     | [engine] wizard ↔ guard : 4 turns
[backend] 2026-07-09 16:41:15 | performance              | INFO     | [performance] pc.act tick=2 3.3ms
[backend] 2026-07-09 16:41:15 | service.event_service    | INFO     | [service] flushed events tick=2 count=10
  x  2 [chromium] › tests\e2e\error-recovery.spec.ts:242:3 › mock speed & event integrity › UC-34 PC position persists across ticks (16.9s)
[e2e teardown] backend stopped


  1) [chromium] › tests\e2e\error-recovery.spec.ts:242:3 › mock speed & event integrity › UC-34 PC position persists across ticks 

    Error: expect(received).toBe(expected) // Object.is equality

    Expected: 0
    Received: 4

      264 |     const state2 = await getTestSeamState(page);
      265 |     const pos2 = state2!.pcPositions as Record<string, { tx: number; ty: number }>;
    > 266 |     expect(Object.keys(pos2).length).toBe(Object.keys(pos1).length);
          |                                      ^
      267 |
      268 |     // L3 DB：通过 /view/global/tick_events 端点验证事件已写入 DB / Verify events written to DB
      269 |     const viewRes = await page.request.get("/view/global/tick_events");
        at E:\Projects\AIGameWorld\frontend\tests\e2e\error-recovery.spec.ts:266:38

    Error: browserContext.close: Test ended.
    Browser logs:

    <launching> C:\Users\Hpl\AppData\Local\ms-playwright\chromium_headless_shell-1228\chrome-headless-shell-win64\chrome-headless-shell.exe --disable-field-trial-config --disable-background-networking --disable-background-timer-throttling --disable-backgrounding-occluded-windows --disable-back-forward-cache --disable-breakpad --disable-client-side-phishing-detection --disable-component-extensions-with-background-pages --disable-component-update --no-default-browser-check --disable-default-apps --disable-dev-shm-usage --disable-edgeupdater --disable-extensions --disable-features=AvoidUnnecessaryBeforeUnloadCheckSync,BoundaryEventDispatchTracksNodeRemoval,DestroyProfileOnBrowserClose,DialMediaRouteProvider,GlobalMediaControls,HttpsUpgrades,LensOverlay,MediaRouter,PaintHolding,ThirdPartyStoragePartitioning,Translate,AutoDeElevate,RenderDocument,OptimizationHints,msForceBrowserSignIn,msEdgeUpdateLaunchServicesPreferredVersion --enable-features=CDPScreenshotNewSurface --allow-pre-commit-input --disable-hang-monitor --disable-ipc-flooding-protection --disable-popup-blocking --disable-prompt-on-repost --disable-renderer-backgrounding --force-color-profile=srgb --metrics-recording-only --no-first-run --password-store=basic --use-mock-keychain --no-service-autorun --export-tagged-pdf --disable-search-engine-choice-screen --unsafely-disable-devtools-self-xss-warnings --edge-skip-compat-layer-relaunch --disable-infobars --disable-search-engine-choice-screen --disable-sync --enable-unsafe-swiftshader --headless --hide-scrollbars --mute-audio --blink-settings=primaryHoverType=2,availableHoverTypes=2,primaryPointerType=4,availablePointerTypes=4 --no-sandbox --user-data-dir=C:\Users\Hpl\AppData\Local\Temp\playwright_chromiumdev_profile-Qvtvtl --remote-debugging-pipe --no-startup-window
    <launched> pid=23516
