[backend] INFO:     Started server process [8140]
INFO:     Waiting for application startup.
[backend] [Config] LLM provider: deepseek
[backend] 2026-07-09 16:43:17 | service.data_service     | INFO     | [data] persisted actors count=6 tick=1
[backend] 2026-07-09 16:43:17 | performance              | INFO     | [performance] data.persist tick=1 36.6ms
[backend] 2026-07-09 16:43:17 | performance              | INFO     | [performance] tick tick=1
[backend] 2026-07-09 16:43:17 | utils.metrics            | INFO     | [metrics] tick=1 latency=1507ms llm=0 tokens=0/0 cost=$0.000000
[backend] 2026-07-09 16:43:17 | tick_runner              | INFO     | [batch] Finished world mock_world: 1/1 ticks
[backend] [Config] LLM provider: deepseek
2026-07-09 16:43:18 | uvicorn.access           | INFO     | 127.0.0.1:53225 - "GET /api/world/mock_world/state HTTP/1.1" 200
[backend] 2026-07-09 16:43:18 | repo.event_repo          | INFO     | [repo] deleted events for world=mock_world
[backend] 2026-07-09 16:43:18 | graph.checkpoints        | INFO     | [graph] checkpointer type=memory
[backend] 2026-07-09 16:43:18 | orchestrator             | INFO     | [orchestrator] reset complete for mock_world
[backend] 2026-07-09 16:43:18 | api                      | INFO     | [api] world.reset world=mock_world
[backend] 2026-07-09 16:43:18 | uvicorn.access           | INFO     | 127.0.0.1:53227 - "POST /api/world/mock_world/reset HTTP/1.1" 200
[backend] [Config] LLM provider: deepseek
2026-07-09 16:43:18 | uvicorn.access           | INFO     | 127.0.0.1:53230 - "GET /api/world/mock_world/state HTTP/1.1" 200
[backend] 2026-07-09 16:43:18 | uvicorn.access           | INFO     | 127.0.0.1:53233 - "GET /api/world/mock_world/loop/status HTTP/1.1" 200
[backend] 2026-07-09 16:43:19 | api                      | INFO     | [api] tick.batch world=mock_world:1
[backend] 2026-07-09 16:43:19 | tick_runner              | INFO     | [batch] Started 1 ticks for world mock_world
[backend] 2026-07-09 16:43:19 | uvicorn.access           | INFO     | 127.0.0.1:53235 - "POST /api/world/mock_world/tick/batch/1 HTTP/1.1" 200
[backend] 2026-07-09 16:43:20 | engine.dm.dm_engine      | INFO     | [engine] dm_create tick=1 world=mock_world
[backend] 2026-07-09 16:43:20 | performance              | INFO     | [performance] dm.create tick=1 1007.2ms
[backend] 2026-07-09 16:43:20 | uvicorn.access           | INFO     | 127.0.0.1:53240 - "GET /api/world/mock_world/events?since_tick=0 HTTP/1.1" 200
[backend] 2026-07-09 16:43:20 | performance              | INFO     | [performance] data.load_world tick=1 6.7ms
[backend] [Config] LLM provider: deepseek
2026-07-09 16:43:20 | uvicorn.access           | INFO     | 127.0.0.1:53238 - "GET /api/world/mock_world/state HTTP/1.1" 200
[backend] 2026-07-09 16:43:20 | performance              | INFO     | [performance] data.load_scene tick=1 3.7ms
[backend] 2026-07-09 16:43:20 | performance              | INFO     | [performance] data.load_actors tick=1 0.8ms
[backend] 2026-07-09 16:43:20 | performance              | INFO     | [performance] data.load_pcs tick=1 0.4ms
[backend] 2026-07-09 16:43:20 | performance              | INFO     | [performance] data.load_scene_objects tick=1 0.5ms
[backend] 2026-07-09 16:43:20 | performance              | INFO     | [performance] tick_init.assign_positions tick=1 0.0ms
[backend] 2026-07-09 16:43:20 | performance              | INFO     | [performance] tick_init.dm_create_event tick=1 0.0ms
